sentence,label
"Thank you, Whitley.",non-answer
Good afternoon and thank you for joining us on our Q4 2014 conference call.,non-answer
Joining me on today's call is our Chairman and CEO <UNK> <UNK> and our President <UNK> <UNK>.,non-answer
"Before we begin, I will read our Safe Harbor statement.",non-answer
"Today we will make some forward-looking statements, the accuracy of which is subject to risks and uncertainties.",non-answer
"Wherever possible, we will try to identify those forward-looking statements by using words such as believe, expect, anticipate, forecast, and similar expressions.",non-answer
"Our forward-looking statements are based on our estimates and assumptions as of today, February 25, 2015, and should not be relied upon as representing our estimates or views on any subsequent date.",non-answer
"Please refer to the cautionary statement regarding forward-looking information and the risk factors in our most recent 10-K and subsequent SEC filings, including disclosure of the factors that could cause results to differ materially from those expressed or implied.",non-answer
"During this call, we will discuss non-GAAP financial measures, which include organic sales and growth numbers, as well as EBITDA.",non-answer
We also hope you will join us for our first quarter call 2015 on May 11th of this year.,non-answer
"Thank you, Danielle, and welcome to the Tredegar 2014 annual financial results review.",non-answer
"Our earnings for the fourth quarter and full-year 2014 were released after the market closed today, and you'll find our press release, 10-K and supplemental materials including non-GAAP reconciliations on our website under the Investors section at www.tredegar.com.",answer
And the pace of some of the construction projects that we do at that business and when they're proved and when they actually start putting shovels in the ground are going to drive the timing of the demand for capital.,answer
"So, there's a lot of factors that come into play there.",answer
We do.,non-answer
One second.,non-answer
Are you talking total or just the utility.,non-answer
Give me a second.,non-answer
I have the number.,non-answer
I just have to dig it out.,non-answer
"Any other questions while we're, while I'm rooting through my papers.",non-answer
This is <UNK> <UNK>.,non-answer
I can take that one.,non-answer
We are looking to surpass that number in 2015 and do even better.,answer
"As a reminder, some of the statements made here about the future performance of the Company constitute forward-looking statements within the meaning of federal securities law.",non-answer
Please note the cautionary language about our forward-looking statements that is contained in our press release.,non-answer
That same language applies to this call.,non-answer
I think that will be coming in future quarters.,answer
Yes.,non-answer
Correct.,non-answer
Over 95% of our invoices are in US dollars.,answer
Sounds like an interview question.,non-answer
We've always looked at our opportunity at FactSet through multiple lenses.,answer
"We'll look at the opportunity geographically, we'll look at it by the types of firms that we're selling to, the different sites of users or workflows within those firms, lots of different ways of looking at it.",answer
One area that I think you'll see increased focus from at FactSet is specifically around that end-user work flow.,answer
"Please note that our comments today regarding financial results exclude all non-operating or special items, and reconciliations related to any non-GAAP financial measures discussed today may be found in the slides accompanying this presentation and our supplemental materials on our website.",non-answer
"With that, I'll turn it over to <UNK> <UNK>.",non-answer
Good afternoon.,non-answer
"I'm <UNK> <UNK>, Tredegar's Chief Executive Officer.",non-answer
"With me today is Kevin O'Leary, Tredegar's Chief Financial Officer.",non-answer
Thank you for joining us today for our annual financial results review.,non-answer
"We also expect full-year 2015 operating income to increase by 19% to $7.5 million, representing a 10% operating margin.",answer
"With that, I will turn it back over to the operator for Q&A.",non-answer
"Jason, are you out there.",non-answer
Sounds like Jason is not getting to us.,non-answer
Maybe he is on mute.,non-answer
"To the operator, this is <UNK>.",non-answer
Maybe we move to the next question or see if that person also has the same problem.,non-answer
"Sorry about that, Jason, if you can hear us.",non-answer
"Yes, I think there is.",non-answer
It is all baked into guidance for 2015.,answer
You have to know that could we thought a lot about what the full guidance for revenues was going to be for 2015.,answer
The agenda for today's call is to discuss our year-end performance for 2014 and update you on our outlook for 2015 and beyond.,non-answer
We issued our earnings press release after the market closed today.,non-answer
"So, as you have seen, 2014 was a year of mixed results, a tough year for our film products business and a breakout year for Bonnell, our aluminum extrusion business.",answer
I'll get to the performance highlights shortly.,non-answer
"First, a minute or two on our strategy.",non-answer
We've been focused on long-term growth to diversify our markets and customers in both of our businesses.,answer
"These particular forward-looking statements, and all other statements that may have been made on the call that are not historical facts, are subject to a number of risks and uncertainties, and actual results may differ materially.",non-answer
"For information on the important factors that may cause actual results to differ materially, please refer to our filings with the SEC, including the Company's most recent 10-Q and 10-Ks.",non-answer
Thank you.,non-answer
"Oh, from -- are you saying from our own eComm, or eComm overall.",non-answer
Yes.,non-answer
"With me here is Bill <UNK>, Sotheby's Chairman, President, and Chief Executive Officer; and Patrick <UNK>, Chief Financial Officer.",non-answer
GAAP refers to generally accepted accounting principles in the United States of America.,non-answer
"In this earnings call, financial measures are presented in accordance with GAAP and also on an adjusted non-GAAP basis.",non-answer
"An explanation of the non-GAAP financial measures used in this earnings call, as well as reconciliations to the comparable GAAP amounts, is provided as an appendix to the outline of this call which can be found on the Investor Relations section of the Company's website.",non-answer
"Also during the course of this call, the Company may make projections or other forward-looking statements regarding future events or the future financial performance of the Company.",non-answer
"We wish to caution you that such projections and statements are only predictions and involve risks and uncertainties, resulting in the possibility that the actual events or performance will differ materially from such predictions.",non-answer
"We refer you to the documents the Company files periodically with the Securities and Exchange Commission, specifically the Company's most recently filed Form 10-Q and 10-K.",non-answer
These documents identify important factors that could cause the actual results to differ materially from those contained in the projections or forward-looking statements.,non-answer
Please also see our investor webpage for a slide presentation which outlines Sotheby's full year financial results.,non-answer
